Date;BTC;ETH;DOGE;LTC;HEX
2022-01-13;43946.742188;3372.104980;0.161562;141.736862;0.227196
2022-01-14;42598.871094;3248.648682;0.172053;136.646927;0.241646
2022-01-15;43101.898438;3309.844238;0.183644;144.720245;0.242091
2022-01-16;43172.039063;3330.387207;0.185093;147.932266;0.245633
2022-01-17;43118.121094;3350.947266;0.177187;146.534836;0.239484
2022-01-18;42250.074219;3212.287598;0.171086;151.653900;0.209085
2022-01-19;42374.039063;3163.850342;0.165485;141.888260;0.203069
2022-01-20;41744.027344;3095.271729;0.162346;136.896774;0.208766
2022-01-21;40699.605469;3002.956787;0.155263;130.392288;0.212910
2022-01-22;36471.589844;2561.145264;0.142651;114.423241;0.181593
2022-01-23;35047.359375;2406.924316;0.132960;108.462196;0.178089
2022-01-24;36275.734375;2535.891113;0.141881;112.100815;0.193015
2022-01-25;36654.804688;2440.393555;0.137784;109.592476;0.182706
2022-01-26;36950.515625;2455.579102;0.143014;108.062302;0.193046
2022-01-27;36841.878906;2467.188477;0.143756;107.261360;0.187317
2022-01-28;37128.445313;2421.646973;0.141244;106.927483;0.184412
2022-01-29;37780.714844;2546.590576;0.141649;109.431198;0.182312
2022-01-30;38151.917969;2598.564941;0.143057;110.830025;0.179267
2022-01-31;37920.281250;2603.263428;0.139469;108.799171;0.186946
2022-02-01;38481.765625;2687.898926;0.141805;109.589439;0.178876
2022-02-02;38743.714844;2791.958984;0.142626;115.404503;0.180346
2022-02-03;36944.804688;2682.226074;0.137213;108.534653;0.183372
2022-02-04;37149.265625;2681.057617;0.137523;110.291100;0.185701
2022-02-05;41501.480469;2984.446045;0.147533;120.923294;0.195278
2022-02-06;41441.121094;3014.959717;0.147140;121.919350;0.206562
2022-02-07;42406.781250;3057.422119;0.153803;127.444656;0.208525
2022-02-08;43854.652344;3143.008545;0.165606;137.142395;0.216193
2022-02-09;44096.703125;3121.182617;0.158357;133.962173;0.206893
2022-02-10;44347.800781;3240.113037;0.159145;140.173904;0.202557
2022-02-11;43571.128906;3077.413086;0.151895;135.092850;0.209780
2022-02-12;42412.300781;2927.386475;0.144856;126.012909;0.203888
2022-02-13;42236.566406;2916.789551;0.144379;126.670776;0.205782
2022-02-14;42157.398438;2880.187744;0.148869;126.134789;0.200421
2022-02-15;42600.132813;2933.709473;0.145999;124.791725;0.198483
